keys,en,de,fr,it,es,pt,nl,pl,tr,cs,sk,sv,da,nb,fi,hu,ro,ru,uk,el,id,vi
T_TAGLINE,"Claim the arena.","Erobere die Arena.","Conquiers l'arène.","Conquista l'arena.","Conquista la arena.","Conquiste a arena.","Verover de arena.","Podbij arenę.","Arenayı fethet.","Ovládni arénu.","Ovládni arénu.","Erövra arenan.","Erobr arenaen.","Erobre arenaen.","Valloita areena.","Hódítsd meg az arénát!","Cucerește arena.","Захвати арену.","Захопи арену.","Κατάκτησε την αρένα.","Kuasai arena.","Chiếm lĩnh đấu trường."
T_PLAY,"Play","Spielen","Jouer","Gioca","Jugar","Jogar","Spelen","Graj","Oyna","Hrát","Hrať","Spela","Spil","Spill","Pelaa","Játék","Joacă","Играть","Грати","Παίξε","Main","Chơi"
T_SHOP,"Skins","Skins","Skins","Skin","Skins","Skins","Skins","Skiny","Kostümler","Skiny","Skiny","Skins","Skins","Skins","Ulkoasut","Kinézetek","Skinuri","Скины","Скіни","Εμφανίσεις","Skin","Trang phục"
T_SETTINGS,"Settings","Einstellungen","Réglages","Impostazioni","Ajustes","Configurações","Instellingen","Ustawienia","Ayarlar","Nastavení","Nastavenia","Inställningar","Indstillinger","Innstillinger","Asetukset","Beállítások","Setări","Настройки","Налаштування","Ρυθμίσεις","Pengaturan","Cài đặt"
T_HELP,"How to play","So wird gespielt","Comment jouer","Come si gioca","Cómo jugar","Como jogar","Zo speel je","Jak grać","Nasıl oynanır","Jak hrát","Ako hrať","Så spelar du","Sådan spiller du","Slik spiller du","Näin pelaat","Hogyan játssz","Cum se joacă","Как играть","Як грати","Πώς παίζεται","Cara bermain","Cách chơi"
T_BACK,"Back","Zurück","Retour","Indietro","Atrás","Voltar","Terug","Wstecz","Geri","Zpět","Späť","Tillbaka","Tilbage","Tilbake","Takaisin","Vissza","Înapoi","Назад","Назад","Πίσω","Kembali","Quay lại"
T_OK,"OK","OK","OK","OK","OK","OK","OK","OK","Tamam","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oke","OK"
T_RESUME,"Resume","Weiter","Reprendre","Riprendi","Continuar","Continuar","Doorgaan","Wznów","Devam et","Pokračovat","Pokračovať","Fortsätt","Fortsæt","Fortsett","Jatka","Folytatás","Continuă","Продолжить","Продовжити","Συνέχεια","Lanjut","Tiếp tục"
T_HOME,"Menu","Menü","Menu","Menu","Menú","Menu","Menu","Menu","Menü","Menu","Menu","Meny","Menu","Meny","Valikko","Menü","Meniu","Меню","Меню","Μενού","Menu","Menu"
T_RETRY,"Play again","Nochmal","Rejouer","Rigioca","Otra vez","Jogar de novo","Opnieuw","Jeszcze raz","Tekrar oyna","Hrát znovu","Hrať znova","Spela igen","Spil igen","Spill igjen","Pelaa uudestaan","Újra","Din nou","Ещё раз","Ще раз","Ξανά","Main lagi","Chơi lại"
T_PAUSED,"Paused","Pause","Pause","In pausa","Pausa","Pausado","Gepauzeerd","Pauza","Duraklatıldı","Pozastaveno","Pozastavené","Pausad","Pause","Pause","Tauko","Szünet","Pauză","Пауза","Пауза","Παύση","Jeda","Tạm dừng"
T_BEST,"Best","Rekord","Record","Record","Récord","Recorde","Record","Rekord","Rekor","Rekord","Rekord","Rekord","Rekord","Rekord","Ennätys","Rekord","Record","Рекорд","Рекорд","Ρεκόρ","Rekor","Kỷ lục"
T_YOU,"You","Du","Toi","Tu","Tú","Você","Jij","Ty","Sen","Ty","Ty","Du","Du","Du","Sinä","Te","Tu","Ты","Ти","Εσύ","Kamu","Bạn"
T_GO,"GO!","LOS!","GO !","VIA!","¡VAMOS!","VAI!","GO!","START!","BAŞLA!","START!","ŠTART!","KÖR!","GO!","KJØR!","NYT!","RAJT!","START!","ВПЕРЁД!","ВПЕРЕД!","ΠΑΜΕ!","AYO!","BẮT ĐẦU!"
T_RES_WIN,"Arena conquered!","Arena erobert!","Arène conquise !","Arena conquistata!","¡Arena conquistada!","Arena conquistada!","Arena veroverd!","Arena podbita!","Arena fethedildi!","Aréna ovládnuta!","Aréna ovládnutá!","Arenan erövrad!","Arenaen erobret!","Arenaen erobret!","Areena vallattu!","Az aréna a tiéd!","Arena cucerită!","Арена захвачена!","Арену захоплено!","Η αρένα κατακτήθηκε!","Arena dikuasai!","Đã chiếm được đấu trường!"
T_RES_SELF,"You crossed your own line.","Du hast deine eigene Linie gekreuzt.","Tu as coupé ta propre ligne.","Hai tagliato la tua stessa scia.","Cruzaste tu propia línea.","Você cruzou a própria linha.","Je raakte je eigen lijn.","Przeciąłeś własną linię.","Kendi çizgine çarptın.","Přejel jsi vlastní čáru.","Prešiel si vlastnú čiaru.","Du korsade din egen linje.","Du ramte din egen linje.","Du krysset din egen linje.","Osuit omaan viivaasi.","Átmentél a saját vonaladon.","Ți-ai tăiat propria linie.","Ты пересёк свою же линию.","Ти перетнув власну лінію.","Πέρασες τη δική σου γραμμή.","Kamu memotong garismu sendiri.","Bạn đã cắt vào đường của chính mình."
T_RES_KILLED,"Caught by %s","Erwischt von %s","Attrapé par %s","Preso da %s","Atrapado por %s","Pego por %s","Gepakt door %s","Złapał cię %s","%s seni yakaladı","Dostal tě %s","Dostal ťa %s","Fångad av %s","Fanget af %s","Tatt av %s","%s nappasi sinut","Elkapott: %s","Prins de %s","Тебя поймал %s","Тебе спіймав %s","Σε έπιασε ο %s","Tertangkap oleh %s","Bị %s hạ gục"
